#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
2.01E-02,3.020
2.02E-02,3.020
2.02E-02,3.020
2.02E-02,3.000
2.02E-02,3.020
2.03E-02,3.020
2.03E-02,3.020
2.03E-02,3.020
2.03E-02,3.020
2.04E-02,3.000
2.04E-02,3.020
2.04E-02,3.020
2.04E-02,3.020
2.04E-02,3.040
2.05E-02,3.000
2.05E-02,3.020
2.05E-02,3.020
2.05E-02,3.020
2.06E-02,3.000
2.06E-02,3.040
2.06E-02,3.020
2.07E-02,3.000
2.07E-02,3.000
2.07E-02,3.020
2.07E-02,3.020
2.08E-02,3.020
2.08E-02,3.020
2.08E-02,3.020
2.08E-02,3.020
2.09E-02,3.020
2.09E-02,3.020
2.09E-02,3.020
2.09E-02,3.020
2.09E-02,3.020
2.10E-02,3.000
2.10E-02,3.000
2.10E-02,3.000
2.10E-02,3.000
2.11E-02,3.000
2.11E-02,3.040
2.11E-02,2.980
2.11E-02,3.020
2.12E-02,2.980
2.12E-02,3.020
2.12E-02,2.980
2.13E-02,3.020
2.13E-02,3.020
2.13E-02,3.000
2.13E-02,3.020
2.14E-02,3.000
2.14E-02,3.020
2.14E-02,3.020
2.14E-02,3.040
2.15E-02,3.040
2.15E-02,3.000
2.15E-02,3.020
2.15E-02,3.020
2.15E-02,3.020
2.16E-02,3.020
2.16E-02,3.020
2.16E-02,3.020
2.16E-02,3.040
2.17E-02,3.040
2.17E-02,3.040
2.17E-02,3.040
2.17E-02,3.000
2.18E-02,3.000
2.18E-02,3.020
2.18E-02,3.040
2.19E-02,3.000
2.19E-02,3.020
2.19E-02,3.000
2.19E-02,3.020
2.20E-02,3.040
2.20E-02,3.040
2.20E-02,3.000
2.20E-02,3.000
2.21E-02,3.020
2.21E-02,3.000
2.21E-02,3.020
2.21E-02,3.040
2.21E-02,3.000
2.22E-02,3.000
2.22E-02,3.020
2.22E-02,3.000
2.22E-02,3.020
2.23E-02,3.000
2.23E-02,3.020
2.23E-02,2.960
2.23E-02,3.020
2.24E-02,3.020
2.24E-02,3.000
2.24E-02,3.000
2.25E-02,3.020
2.25E-02,3.000
2.25E-02,3.000
2.25E-02,3.020
2.26E-02,3.040
2.26E-02,3.040
2.26E-02,3.040
2.26E-02,3.000
2.26E-02,3.020
2.27E-02,3.020
2.27E-02,3.020
2.27E-02,3.000
2.27E-02,3.020
2.28E-02,3.020
2.28E-02,3.020
2.28E-02,3.020
2.28E-02,3.020
2.29E-02,3.000
2.29E-02,3.020
2.29E-02,3.040
2.30E-02,3.040
2.30E-02,3.000
2.30E-02,3.020
2.30E-02,3.020
2.31E-02,3.020
2.31E-02,3.020
2.31E-02,3.000
2.31E-02,3.020
2.32E-02,2.980
2.32E-02,3.020
2.32E-02,2.980
2.32E-02,3.020
2.32E-02,3.040
2.33E-02,3.000
2.33E-02,3.020
2.33E-02,3.020
2.33E-02,3.020
2.34E-02,3.020
2.34E-02,3.020
2.34E-02,3.000
2.34E-02,3.020
2.35E-02,3.080
2.35E-02,3.000
2.35E-02,3.020
2.36E-02,3.020
2.36E-02,3.020
2.36E-02,3.000
2.36E-02,3.020
2.37E-02,3.040
2.37E-02,3.040
2.37E-02,3.000
2.37E-02,3.020
2.38E-02,3.020
2.38E-02,3.020
2.38E-02,3.020
2.38E-02,3.000
2.38E-02,3.020
2.39E-02,3.040
2.39E-02,3.000
2.39E-02,3.020
2.39E-02,3.020
2.40E-02,3.020
2.40E-02,3.020
2.40E-02,3.020
2.40E-02,3.020
2.41E-02,3.020
2.41E-02,3.020
2.41E-02,3.020
2.42E-02,3.020
2.42E-02,3.020
2.42E-02,3.020
2.42E-02,2.920
2.43E-02,3.020
2.43E-02,3.020
2.43E-02,3.020
2.43E-02,3.020
2.44E-02,3.020
2.44E-02,3.020
2.44E-02,3.020
2.44E-02,3.020
2.44E-02,3.020
2.45E-02,3.040
2.45E-02,3.040
2.45E-02,3.000
2.45E-02,3.020
2.46E-02,3.020
2.46E-02,3.020
2.46E-02,3.020
2.46E-02,3.020
2.47E-02,3.020
2.47E-02,3.020
2.47E-02,3.000
2.48E-02,3.020
2.48E-02,3.020
2.48E-02,3.020
2.48E-02,3.000
2.49E-02,3.020
2.49E-02,3.000
2.49E-02,3.020
2.49E-02,3.000
2.49E-02,3.000
2.50E-02,3.020
2.50E-02,3.040
2.50E-02,3.000
2.50E-02,3.020
2.51E-02,3.020
2.51E-02,3.020
2.51E-02,3.060
2.51E-02,3.000
2.52E-02,3.000
2.52E-02,3.060
2.52E-02,3.000
2.53E-02,3.020
2.53E-02,3.020
2.53E-02,3.020
2.53E-02,3.000
2.54E-02,3.000
2.54E-02,3.020
2.54E-02,3.000
2.54E-02,3.020
2.55E-02,3.000
2.55E-02,3.020
2.55E-02,3.000
2.55E-02,3.000
2.55E-02,3.020
2.56E-02,3.020
2.56E-02,3.020
2.56E-02,3.020
2.56E-02,3.020
2.57E-02,3.040
2.57E-02,3.000
2.57E-02,3.020
2.57E-02,3.020
2.58E-02,3.020
2.58E-02,3.000
2.58E-02,3.000
2.59E-02,3.020
2.59E-02,3.020
2.59E-02,3.020
2.59E-02,3.020
2.60E-02,3.020
2.60E-02,3.020
2.60E-02,3.020
2.60E-02,3.020
2.61E-02,3.020
2.61E-02,3.020
2.61E-02,3.020
2.61E-02,3.020
2.61E-02,3.000
2.62E-02,3.000
2.62E-02,3.020
2.62E-02,3.020
2.62E-02,3.020
2.63E-02,3.020
2.63E-02,3.020
2.63E-02,3.020
2.63E-02,3.020
2.64E-02,3.020
2.64E-02,3.000
2.64E-02,3.020
2.65E-02,3.000
2.65E-02,3.020
2.65E-02,3.000
2.65E-02,3.000
2.66E-02,3.020
2.66E-02,3.020
2.66E-02,3.020
2.66E-02,3.020
2.67E-02,3.040
2.67E-02,3.000
2.67E-02,3.000
2.67E-02,3.020
2.67E-02,3.000
2.68E-02,3.020
2.68E-02,3.000
2.68E-02,3.000
2.68E-02,3.020
2.69E-02,3.020
2.69E-02,3.020
2.69E-02,2.920
2.70E-02,3.000
2.70E-02,3.000
2.70E-02,3.020
2.70E-02,3.000
2.71E-02,3.020
2.71E-02,3.040
2.71E-02,3.000
2.71E-02,3.000
2.72E-02,3.020
2.72E-02,3.040
